policy_number,policy_bind_date,policy_state,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_age,insured_sex,insured_occupation,insured_hobbies,incident_date,incident_state,incident_severity,incident_city,incident_location,incident_hour_of_the_day,peril_type,authorities_contacted,police_report_available,cov_A,cov_E,personal_liability_ind,property_claim_amount,injury_claim_amount,total_claim_amount,liberty_prior_claim,other_prior_claim,fraud_reported
221800,12/9/1993,IL,500,3488.932319,0,46671,29,MALE,craft-repair,hiking,2/7/2015,WV,trivial damage,Arlington,5415 Elm Lane,10,theft,police,YES,388600,1000000,YES,60480,4663,65143,NO,NO,NO
788619,6/13/1997,IN,1000,4892.542232,0,60624,24,MALE,priv-house-serv,video-games,1/17/2015,NC,total loss,Arlington,5939 4th Lane,2,hail,other,NO,456200,500000,NO,456200,157,456357,NO,NO,NO
525885,6/2/1991,IN,1000,3139.34878,0,46681,37,MALE,other-service,reading,2/13/2015,WV,minor damage,Hillsdale,7153 Rock Hwy,15,hail,other,NO,304400,300000,YES,143691,6947,150638,YES,NO,NO
490599,1/13/2000,OH,500,3232.536922,0,47479,38,MALE,tech-support,video-games,2/25/2015,WV,total loss,Northbend,5998 Washington St,10,theft,none,NO,284000,300000,NO,284000,3616,287616,NO,YES,NO
196799,6/28/2005,IN,1000,2802.690905,0,43278,21,MALE,protective-serv,video-games,1/2/2015,NC,minor damage,Arlington,7975 1st Drive,7,theft,none,NO,291200,1000000,NO,157721,7962,165683,NO,NO,NO
702286,11/17/2003,IN,1000,910.7150054,0,44149,64,FEMALE,adm-clerical,dancing,1/15/2015,WV,major damage,Columbus,9221 Andromedia St,19,theft,fire,NO,84000,500000,NO,62862,7631,70493,YES,NO,NO
722346,7/15/1999,IL,500,1629.998255,0,44935,43,FEMALE,armed-forces,hiking,1/4/2015,NY,total loss,Columbus,8478 Flute Drive,10,hurricane,ambulance,NO,159000,500000,NO,159000,106,159106,NO,NO,NO
952327,6/16/2008,IN,1000,4229.140445,6000000,47517,44,MALE,machine-op-inspct,reading,2/19/2015,NY,major damage,Hillsdale,5159 Britain Ridge,16,hail,other,NO,400400,1000000,YES,271920,6727,278647,YES,NO,NO
258725,4/16/2011,IL,1000,1095.776057,0,60989,42,MALE,exec-managerial,basketball,1/29/2015,WV,total loss,Columbus,8331 Andromedia St,14,hail,other,NO,129600,300000,NO,129600,10288,139888,YES,YES,NO
136290,10/30/2007,IN,1000,1877.469285,4000000,43420,44,FEMALE,other-service,dancing,1/16/2015,SC,major damage,Columbus,6711 Francis Ridge,21,hurricane,other,NO,183400,500000,NO,116553,6104,122657,NO,NO,NO
920176,7/4/2008,OH,500,3298.719902,0,61592,48,MALE,exec-managerial,dancing,1/29/2015,SC,total loss,Hillsdale,2313 Maple Lane,11,theft,police,NO,282600,1000000,NO,282600,277,282877,NO,NO,NO
919844,4/6/2003,IN,500,5360.535549,0,45158,54,FEMALE,protective-serv,sleeping,1/20/2015,WV,minor damage,Northbend,4275 2nd Lane,8,fire,police,YES,512200,300000,NO,275552,3967,279519,NO,YES,NO
345918,4/23/2003,OH,500,886.6859087,0,61534,41,FEMALE,craft-repair,bungie-jumping,2/16/2015,SC,trivial damage,Arlington,9482 Maple St,9,theft,fire,NO,95400,500000,NO,33121,15929,49050,YES,NO,NO
252567,4/21/1995,IL,500,1852.50041,0,46464,41,FEMALE,adm-clerical,paintball,2/8/2015,VA,minor damage,Northbend,4316 Tree St,5,theft,ambulance,NO,180600,500000,NO,82349,8362,90711,YES,YES,NO
728119,8/7/1996,IL,500,3812.022333,0,43128,37,FEMALE,farming-fishing,camping,2/3/2015,NY,total loss,Arlington,5760 Sky Ridge,9,other,police,YES,333200,300000,YES,333200,9010,342210,NO,NO,NO
822216,9/15/1995,IN,500,2476.62655,0,60020,46,MALE,protective-serv,board-games,2/23/2015,VA,minor damage,Riverwood,9691 2nd Hwy,0,hurricane,other,NO,227000,300000,NO,136047,4894,140941,NO,NO,NO
683667,12/4/2004,IN,500,2604.787662,0,60837,27,MALE,protective-serv,polo,1/6/2015,NY,minor damage,Springfield,8402 Pine Ave,14,hail,ambulance,NO,297800,300000,NO,138797,5929,144726,NO,NO,NO
476413,6/21/2008,IL,1000,4889.795452,0,44093,42,FEMALE,adm-clerical,base-jumping,1/10/2015,WV,total loss,Hillsdale,4588 Weaver Lane,14,hail,other,NO,606400,500000,NO,606400,11160,617560,YES,YES,NO
273896,4/20/2014,IL,500,7545.45152,6000000,46515,50,FEMALE,prof-specialty,basketball,1/5/2015,NC,minor damage,Columbus,1537 Rock Drive,10,theft,police,YES,671200,500000,YES,307342,11280,318622,NO,NO,NO
222358,5/4/2008,OH,1000,4675.181262,0,44880,45,FEMALE,machine-op-inspct,board-games,2/2/2015,SC,total loss,Hillsdale,5766 Elm Ridge,13,theft,none,NO,445600,300000,NO,445600,4217,449817,NO,YES,NO
711122,9/19/2001,IN,500,3506.117284,0,61746,44,FEMALE,protective-serv,paintball,1/27/2015,SC,minor damage,Hillsdale,6081 4th St,1,hail,other,NO,299200,300000,NO,142219,7290,149509,NO,YES,NO
276010,7/1/1995,IN,1000,7273.133562,0,46515,29,FEMALE,priv-house-serv,bungie-jumping,1/2/2015,NY,total loss,Springfield,7420 Sky Ridge,17,hurricane,other,NO,652800,300000,NO,652800,18681,671481,NO,NO,NO
140381,10/3/1996,OH,1000,906.4328244,0,44926,44,FEMALE,sales,cross-fit,1/27/2015,NY,minor damage,Arlington,3851 Sky Lane,7,fire,none,NO,89600,500000,YES,45111,12785,57896,NO,NO,NO
673297,2/17/2007,IN,500,1714.02113,0,45581,41,MALE,other-service,sleeping,1/9/2015,NY,minor damage,Riverwood,9176 Solo Ave,18,hail,other,NO,206400,500000,NO,93224,9918,103142,NO,NO,NO
760591,11/16/1996,IL,1000,3731.80265,0,43239,49,MALE,machine-op-inspct,yachting,1/22/2015,NY,minor damage,Northbend,9138 5th Ave,18,hail,fire,NO,322000,500000,NO,149320,12712,162032,YES,YES,NO
896595,7/24/1991,OH,500,6052.069418,0,45452,49,FEMALE,machine-op-inspct,polo,2/25/2015,NY,trivial damage,Riverwood,3137 3rd St,17,hurricane,other,NO,510200,500000,YES,127434,5248,132682,YES,NO,NO
662636,5/4/1995,IN,1000,2123.023674,0,61185,47,FEMALE,other-service,dancing,1/22/2015,VA,total loss,Northbrook,8724 3rd Hwy,11,hurricane,other,NO,200800,500000,NO,200800,10637,211437,NO,NO,NO
905305,8/21/2013,OH,1000,1199.363403,0,61590,35,MALE,exec-managerial,yachting,1/23/2015,NY,trivial damage,Columbus,4136 5th Hwy,19,theft,ambulance,NO,123800,1000000,NO,679,718,1397,NO,NO,NO
625288,7/4/2009,IN,1000,1468.376291,0,45784,42,MALE,craft-repair,hiking,1/11/2015,NC,total loss,Arlington,3270 Britain Lane,17,fire,police,YES,183400,300000,NO,183400,7544,190944,NO,YES,NO
524409,11/15/2008,IL,1000,7711.380121,0,43196,31,FEMALE,exec-managerial,sleeping,2/7/2015,NY,total loss,Northbend,8814 Weaver Ridge,21,theft,ambulance,NO,858800,300000,NO,858800,20724,879524,YES,NO,NO
742347,11/7/2010,OH,1000,7614.952565,0,60487,57,MALE,other-service,camping,2/19/2015,WV,trivial damage,Northbend,1098 Britain St,9,fire,ambulance,NO,663000,500000,NO,216684,13982,230666,NO,NO,NO
519540,7/21/1996,IN,500,2392.615998,0,47539,32,FEMALE,adm-clerical,bungie-jumping,2/18/2015,NY,trivial damage,Columbus,1186 Pine Lane,3,hail,other,NO,215800,300000,NO,50833,60,50893,YES,NO,NO
266224,4/19/2005,OH,1000,2774.281662,0,45998,38,MALE,adm-clerical,video-games,2/10/2015,WV,minor damage,Riverwood,5207 Texas St,22,hurricane,ambulance,NO,235000,300000,NO,120433,2026,122459,YES,NO,NO
720464,5/11/2000,OH,1000,4268.392295,3000000,45858,21,MALE,exec-managerial,camping,2/15/2015,NC,major damage,Arlington,9288 Elm St,15,other,fire,NO,401400,300000,NO,255256,6706,261962,NO,NO,NO
686756,1/10/2010,OH,500,6152.193978,0,44744,23,MALE,machine-op-inspct,paintball,1/15/2015,WV,total loss,Northbend,2644 Lincoln Lane,13,hurricane,other,NO,557400,1000000,NO,557400,2,557402,YES,NO,NO
551269,1/7/2003,OH,1000,3584.6654,0,61254,57,FEMALE,protective-serv,reading,2/12/2015,WV,total loss,Hillsdale,8299 Rock Hwy,11,other,fire,NO,322000,300000,NO,322000,5796,327796,NO,YES,NO
947090,3/17/2003,IL,1000,2060.712878,0,60896,40,FEMALE,priv-house-serv,hiking,1/25/2015,SC,trivial damage,Northbrook,2294 1st Ave,17,theft,none,NO,233400,300000,NO,56827,1228,58055,YES,NO,NO
185464,6/15/1999,IL,1000,1570.899383,0,46269,30,MALE,protective-serv,skydiving,2/23/2015,SC,minor damage,Northbrook,3590 Oak Lane,1,fire,fire,NO,166800,1000000,NO,87200,7512,94712,YES,NO,NO
156473,1/21/2013,IN,1000,2518.110865,0,61910,35,FEMALE,other-service,cross-fit,1/9/2015,NY,minor damage,Hillsdale,3221 Britain Ridge,16,other,other,NO,242000,300000,NO,114192,332,114524,NO,NO,NO
109753,9/8/1991,IN,500,2945.264671,6000000,61384,21,FEMALE,tech-support,camping,2/5/2015,NY,minor damage,Columbus,7161 Weaver Lane,2,fire,ambulance,NO,250000,500000,NO,149882,6568,156450,NO,YES,NO
252163,3/13/2013,IN,1000,1863.728802,0,47086,37,MALE,protective-serv,movies,2/25/2015,WV,total loss,Northbrook,6934 4th St,0,theft,other,NO,169000,300000,NO,169000,11998,180998,YES,NO,NO
256479,6/13/1992,IL,1000,1540.422276,6000000,60522,28,MALE,tech-support,hiking,1/18/2015,WV,minor damage,Northbend,4501 Sky Lane,17,fire,ambulance,NO,157400,300000,NO,89507,6640,96147,NO,NO,NO
534334,9/26/1991,IN,1000,2530.270562,0,61226,31,MALE,priv-house-serv,chess,2/26/2015,WV,trivial damage,Springfield,5653 1st Ridge,12,other,ambulance,NO,213200,1000000,NO,15197,7698,22895,YES,NO,NO
512215,11/24/2001,IL,1000,3239.638836,0,61486,38,FEMALE,priv-house-serv,yachting,1/5/2015,NY,minor damage,Hillsdale,5732 Francis Ave,5,hail,ambulance,NO,312800,300000,NO,168301,364,168665,YES,NO,NO
362848,2/24/1995,IL,1000,2851.23678,7000000,61521,30,MALE,other-service,camping,2/2/2015,VA,major damage,Hillsdale,8216 Weaver Hwy,2,hail,ambulance,NO,240800,300000,YES,202147,5324,207471,NO,NO,NO
710627,6/11/1996,IN,1000,3185.918596,0,43510,44,MALE,craft-repair,cross-fit,1/23/2015,VA,minor damage,Springfield,7316 Tree Ridge,23,hail,fire,NO,366800,1000000,NO,173733,5727,179460,NO,YES,NO
626741,11/6/2010,OH,500,837.0291697,0,60382,35,FEMALE,tech-support,board-games,2/16/2015,NC,total loss,Arlington,9512 MLK Drive,10,hurricane,ambulance,NO,97200,300000,NO,97200,1036,98236,NO,NO,NO
945207,11/30/2003,OH,1000,3903.134448,0,44346,39,MALE,adm-clerical,video-games,2/7/2015,NY,total loss,Riverwood,3245 Elm St,12,hail,other,NO,438400,300000,YES,438400,11764,450164,NO,NO,NO
694757,5/22/2001,IN,1000,1199.721769,0,61780,32,MALE,armed-forces,bungie-jumping,2/12/2015,SC,total loss,Springfield,1452 Flute Ridge,3,fire,other,NO,119000,500000,NO,119000,9920,128920,YES,YES,NO
931077,1/24/2001,OH,1000,2261.612951,0,60363,46,MALE,craft-repair,camping,2/12/2015,WV,total loss,Hillsdale,2711 1st Drive,6,hail,fire,NO,244000,500000,NO,244000,13732,257732,NO,YES,NO
930773,6/13/1999,IN,1000,3189.735854,0,45893,25,MALE,armed-forces,camping,1/13/2015,NC,trivial damage,Arlington,8477 MLK Drive,9,hurricane,other,NO,336600,500000,NO,16055,7702,23757,YES,YES,NO
374580,8/3/2004,OH,500,4706.924622,0,60549,31,FEMALE,machine-op-inspct,yachting,1/15/2015,VA,minor damage,Riverwood,8966 2nd Hwy,21,fire,none,NO,470600,1000000,NO,210281,5831,216112,NO,NO,NO
911402,12/7/2013,IL,1000,1919.580886,0,45657,29,FEMALE,prof-specialty,polo,2/21/2015,VA,major damage,Riverwood,9681 4th Hwy,1,fire,police,YES,189600,300000,NO,118762,9098,127860,YES,NO,NO
626665,3/20/2013,OH,500,5331.8012,0,45746,41,MALE,prof-specialty,reading,2/7/2015,NC,minor damage,Springfield,1363 Washington Ave,9,theft,police,NO,561000,1000000,NO,236760,82,236842,NO,NO,NO
693785,7/21/2003,OH,500,2941.444156,0,43278,50,FEMALE,sales,board-games,1/27/2015,NC,major damage,Hillsdale,2037 5th Ave,6,hurricane,other,NO,264400,500000,NO,232241,5726,237967,YES,YES,NO
769552,8/18/1992,OH,500,5074.069267,0,43378,41,MALE,machine-op-inspct,bungie-jumping,2/6/2015,WV,minor damage,Northbend,4227 Weaver Ridge,21,hail,ambulance,NO,477800,1000000,NO,242699,8175,250874,NO,YES,NO
871141,6/12/2003,IL,1000,2316.282203,0,45755,29,FEMALE,protective-serv,bungie-jumping,1/6/2015,NC,total loss,Arlington,9976 Oak Hwy,10,hail,other,NO,201200,1000000,NO,201200,8877,210077,NO,NO,NO
706591,8/5/2000,IN,1000,1630.60454,6000000,43071,42,MALE,adm-clerical,polo,1/15/2015,SC,minor damage,Arlington,9199 3rd Ave,21,theft,police,YES,162000,500000,NO,77293,1003,78296,NO,NO,NO
238154,9/2/2000,IL,500,3677.702372,5000000,43654,39,FEMALE,protective-serv,sleeping,2/3/2015,NY,trivial damage,Northbend,2273 5th Ave,16,fire,other,NO,385200,1000000,NO,2015,3379,5394,NO,NO,NO
277838,8/1/2004,IL,500,6804.574412,0,60428,40,MALE,exec-managerial,sleeping,2/12/2015,WV,major damage,Northbend,3880 Francis Ave,23,theft,none,NO,698400,1000000,NO,521594,12969,534563,NO,NO,NO
387945,6/11/1992,IN,500,3519.603632,0,60414,44,FEMALE,adm-clerical,bungie-jumping,2/8/2015,SC,minor damage,Riverwood,8070 Cherokee Ave,22,theft,none,NO,393600,300000,NO,199378,2549,201927,NO,NO,NO
758562,3/23/2005,OH,1000,3984.661244,0,60064,41,FEMALE,handlers-cleaners,kayaking,1/25/2015,WV,minor damage,Hillsdale,4524 Andromedia Hwy,23,hurricane,other,NO,462600,1000000,YES,273286,533,273819,YES,NO,NO
995636,11/4/2013,OH,1000,3532.531362,0,47697,53,MALE,craft-repair,board-games,1/1/2015,NY,trivial damage,Columbus,1839 Elm Ave,20,hurricane,other,NO,397800,300000,NO,14749,8921,23670,NO,NO,NO
371869,10/25/2005,IL,500,1127.058789,0,43214,53,MALE,protective-serv,bungie-jumping,1/19/2015,NY,minor damage,Columbus,8539 5th Ave,14,hurricane,ambulance,NO,124200,300000,NO,67806,13587,81393,YES,NO,NO
859103,5/14/1995,IL,1000,5038.346689,0,60880,54,FEMALE,other-service,hiking,1/20/2015,SC,minor damage,Hillsdale,6018 Flute Drive,20,fire,none,NO,543400,500000,NO,294096,19589,313685,YES,NO,NO
581055,8/7/1994,OH,1000,964.79009,7000000,46251,40,MALE,prof-specialty,sleeping,2/24/2015,NC,total loss,Columbus,3973 4th Lane,21,hail,other,NO,105200,300000,NO,105200,15085,120285,NO,NO,NO
347102,11/2/1995,OH,500,2155.86152,0,46525,49,MALE,sales,video-games,1/24/2015,SC,minor damage,Columbus,3668 1st Drive,4,theft,ambulance,NO,194000,300000,NO,79919,3337,83256,YES,NO,NO
777701,10/24/2005,IL,1000,3193.740505,0,45794,51,FEMALE,other-service,camping,1/23/2015,PA,minor damage,Hillsdale,4699 3rd Hwy,4,hurricane,other,NO,346800,300000,NO,144915,355,145270,NO,YES,NO
246790,7/25/1996,IL,1000,2508.20548,0,44355,27,MALE,machine-op-inspct,hiking,2/16/2015,WV,total loss,Northbrook,4563 Elm Ridge,4,other,other,NO,219800,500000,NO,219800,6813,226613,YES,NO,NO
541114,5/18/2001,OH,500,1185.408145,5000000,61831,43,MALE,craft-repair,camping,2/15/2015,VA,minor damage,Columbus,2618 Oak St,9,fire,none,NO,110400,300000,YES,63723,18724,82447,YES,NO,NO
550727,7/3/1997,IL,1000,4288.931311,6000000,47764,60,FEMALE,adm-clerical,video-games,1/5/2015,NY,minor damage,Northbend,2229 Solo Ave,3,hail,ambulance,NO,423400,1000000,NO,211244,6011,217255,NO,NO,NO
494822,5/29/2005,IN,1000,2768.438817,0,45712,30,FEMALE,exec-managerial,bungie-jumping,1/19/2015,NY,minor damage,Northbend,5338 Maple Hwy,17,hail,other,NO,264200,500000,NO,152838,1106,153944,NO,YES,NO
219565,12/9/1991,IL,1000,4717.108022,0,61947,31,MALE,adm-clerical,golf,2/27/2015,NY,total loss,Springfield,3502 MLK Ridge,23,fire,other,NO,562800,300000,NO,562800,5367,568167,NO,NO,NO
933185,10/17/2005,OH,500,3256.118892,0,45234,57,FEMALE,farming-fishing,yachting,1/19/2015,NY,minor damage,Arlington,9631 Cherokee Lane,19,hail,ambulance,NO,369600,1000000,NO,191071,6723,197794,NO,NO,NO
196692,9/14/1992,IL,500,7959.615039,0,44437,31,FEMALE,farming-fishing,cross-fit,3/1/2015,WV,minor damage,Hillsdale,5129 Embaracadero Lane,9,fire,fire,NO,798400,300000,YES,388838,12612,401450,NO,NO,NO
800429,12/28/2006,IN,500,1008.734279,0,45956,33,MALE,craft-repair,camping,1/29/2015,NY,minor damage,Riverwood,9629 MLK Ridge,7,hurricane,other,NO,121800,300000,NO,60016,14240,74256,YES,NO,NO
535260,8/7/1990,IL,1000,2133.513547,0,44362,33,FEMALE,sales,dancing,2/18/2015,VA,total loss,Arlington,6086 5th Ridge,8,fire,other,NO,247000,500000,NO,247000,12382,259382,NO,YES,NO
102983,6/1/1998,IL,500,1917.387566,0,43420,51,FEMALE,exec-managerial,basketball,1/16/2015,WV,total loss,Riverwood,3920 Lincoln Lane,2,other,other,NO,201400,300000,NO,201400,988,202388,NO,NO,NO
925371,6/26/1998,OH,1000,2581.016564,0,60837,45,FEMALE,farming-fishing,hiking,3/1/2015,NC,major damage,Northbrook,9701 Elm Hwy,14,fire,other,NO,233200,300000,NO,196639,15330,211969,NO,NO,NO
964265,9/25/2000,IL,500,4232.257543,6000000,44319,42,MALE,priv-house-serv,base-jumping,1/13/2015,SC,major damage,Arlington,2064 Best Ridge,4,fire,none,NO,456000,300000,NO,307721,5961,313682,NO,YES,NO
926996,2/11/1994,OH,1000,5124.683787,7000000,43253,44,MALE,farming-fishing,skydiving,1/8/2015,WV,minor damage,Springfield,4483 Solo Drive,10,fire,none,NO,436000,1000000,NO,203787,6108,209895,YES,NO,NO
589284,8/6/1996,OH,1000,5128.412002,0,47393,33,FEMALE,exec-managerial,chess,2/21/2015,NC,minor damage,Riverwood,9569 Texas Lane,1,hurricane,other,NO,597600,1000000,NO,344854,5561,350415,NO,NO,NO
248902,12/5/1993,IL,500,980.3838676,4000000,43640,27,FEMALE,priv-house-serv,chess,2/18/2015,VA,total loss,Northbend,3111 Andromedia Hwy,12,hurricane,other,NO,119400,500000,NO,119400,4484,123884,NO,NO,NO
798888,10/14/2002,IL,1000,3108.4959,0,46623,51,MALE,protective-serv,camping,2/2/2015,SC,minor damage,Riverwood,7582 Weaver Drive,4,hail,ambulance,NO,304400,300000,YES,158742,40,158782,NO,NO,NO
494706,1/26/2001,IL,1000,6892.284384,0,46269,39,FEMALE,priv-house-serv,dancing,2/27/2015,PA,total loss,Arlington,3245 Elm St,17,hurricane,ambulance,NO,670200,1000000,NO,670200,12897,683097,NO,NO,NO
286397,1/29/1999,IL,500,1712.070004,0,60243,38,MALE,craft-repair,hiking,2/28/2015,WV,trivial damage,Riverwood,7368 4th St,23,other,police,YES,201400,500000,YES,75778,7348,83126,NO,NO,NO
652401,3/5/2000,OH,1000,1775.028414,7000000,45259,36,MALE,sales,video-games,1/26/2015,WV,total loss,Northbend,3285 Lincoln Lane,0,other,other,NO,150800,1000000,NO,150800,21206,172006,NO,YES,NO
968454,10/23/2000,OH,1000,2279.864637,3000000,47332,37,MALE,priv-house-serv,golf,1/28/2015,NC,total loss,Springfield,1422 Apache Ave,8,hurricane,other,NO,221800,300000,NO,221800,10865,232665,YES,NO,NO
526927,4/22/2005,OH,1000,9431.202275,0,43548,27,FEMALE,tech-support,exercise,1/21/2015,NY,minor damage,Arlington,1181 Cherokee Hwy,21,theft,ambulance,NO,861600,300000,NO,410293,5646,415939,YES,YES,NO
326569,8/14/2000,IL,1000,6081.924793,0,43110,45,FEMALE,transport-moving,video-games,2/24/2015,SC,minor damage,Columbus,7967 Tree Ridge,13,theft,ambulance,NO,640400,300000,NO,372180,1135,373315,YES,NO,NO
809418,5/15/1998,IL,1000,1826.690108,0,61392,28,MALE,priv-house-serv,paintball,2/20/2015,WV,trivial damage,Northbrook,8289 Rock Lane,22,other,other,NO,181400,1000000,NO,31418,1520,32938,NO,NO,NO
949344,8/29/2000,OH,500,1350.655878,0,61382,37,FEMALE,tech-support,base-jumping,1/3/2015,NY,minor damage,Columbus,8666 5th Lane,0,other,police,YES,130200,300000,NO,64532,18092,82624,NO,NO,NO
554804,5/10/1999,OH,500,5165.141726,0,46056,44,MALE,sales,golf,2/9/2015,SC,total loss,Northbrook,4182 Britain Lane,4,hail,other,NO,459800,1000000,NO,459799,12713,472512,NO,YES,NO
711102,9/2/1999,IN,1000,5404.161495,0,47048,35,FEMALE,prof-specialty,chess,1/30/2015,WV,total loss,Riverwood,8263 Sky Hwy,23,fire,other,NO,472200,500000,NO,472200,13438,485638,NO,YES,NO
984128,11/24/1992,IL,500,1352.712718,0,47499,39,FEMALE,protective-serv,sleeping,2/2/2015,VA,trivial damage,Columbus,3569 Britain St,6,theft,other,NO,129800,1000000,NO,48430,486,48916,YES,NO,NO
990496,11/19/1996,OH,500,8082.22531,0,44564,43,FEMALE,priv-house-serv,chess,1/20/2015,WV,total loss,Hillsdale,8710 Texas Ave,21,hail,other,NO,831800,1000000,NO,831800,10999,842799,YES,NO,NO
326956,2/24/1994,IL,500,2459.687468,0,61427,41,FEMALE,sales,polo,2/17/2015,WV,minor damage,Riverwood,6118 Oak Ave,10,hail,other,NO,274800,1000000,NO,113962,628,114590,YES,NO,NO
307856,10/23/1998,OH,500,5506.715904,0,61962,29,FEMALE,armed-forces,yachting,1/29/2015,NY,minor damage,Arlington,8873 Flute Ave,20,fire,police,YES,478200,500000,YES,204200,519,204719,NO,YES,NO
765173,10/25/1992,OH,500,2453.32259,0,43854,48,MALE,protective-serv,video-games,1/3/2015,NY,major damage,Hillsdale,8004 Texas Ridge,23,other,ambulance,NO,234400,500000,NO,194514,12634,207148,NO,YES,NO
522643,8/26/1993,IL,1000,10564.45161,0,45245,31,MALE,farming-fishing,bungie-jumping,2/1/2015,NY,minor damage,Columbus,5198 2nd Hwy,8,fire,other,NO,897200,500000,NO,510064,6950,517014,NO,NO,NO
560649,7/26/2003,IL,1000,6158.724317,0,47738,40,MALE,transport-moving,bungie-jumping,2/10/2015,NY,major damage,Hillsdale,5780 1st Hwy,23,hail,other,NO,582200,500000,NO,478795,7231,486026,YES,YES,NO
467023,11/11/2009,IL,1000,4162.213283,6000000,47136,23,MALE,priv-house-serv,base-jumping,2/20/2015,WV,minor damage,Northbrook,4744 Weaver Hwy,17,other,none,NO,444600,1000000,YES,196699,11459,208158,YES,NO,NO
416405,10/10/2007,OH,500,1863.260119,6000000,43369,29,FEMALE,tech-support,board-games,1/2/2015,NY,minor damage,Arlington,8793 Sky Ridge,22,fire,police,YES,207800,300000,NO,108395,10569,118964,YES,NO,NO
626127,2/25/1990,IL,500,2287.254303,0,47332,28,FEMALE,sales,chess,2/7/2015,SC,trivial damage,Springfield,9005 Oak Drive,2,hail,ambulance,NO,229800,500000,NO,56201,348,56549,YES,NO,NO
132524,2/28/1995,IN,500,7901.664373,7000000,44885,43,FEMALE,craft-repair,yachting,2/13/2015,PA,minor damage,Northbend,4996 Best Ave,0,other,fire,NO,794600,500000,NO,436518,13917,450435,YES,YES,NO
203886,7/25/2006,IN,500,2417.158005,0,47393,29,FEMALE,tech-support,golf,2/19/2015,NY,minor damage,Springfield,8287 Lincoln Hwy,13,theft,ambulance,NO,293600,500000,YES,143426,6653,150079,NO,YES,NO
789853,12/8/2014,OH,500,1929.132136,0,43420,43,MALE,craft-repair,paintball,3/1/2015,WV,major damage,Northbend,5656 Sky Lane,2,theft,police,NO,205800,300000,NO,168092,19457,187549,NO,YES,NO
720942,5/31/1999,IL,500,2084.613732,6000000,60363,38,MALE,tech-support,base-jumping,2/4/2015,VA,minor damage,Riverwood,4942 2nd Hwy,23,fire,fire,NO,228000,1000000,NO,126677,10893,137570,YES,NO,NO
323255,7/9/2007,IN,500,2252.042119,0,44386,62,FEMALE,priv-house-serv,video-games,2/20/2015,NC,major damage,Arlington,4957 Texas Ridge,21,hurricane,other,NO,229800,300000,NO,192750,19980,212730,YES,NO,NO
954781,10/24/2004,IN,500,2710.752522,0,44221,29,MALE,prof-specialty,polo,1/22/2015,SC,trivial damage,Northbend,6480 3rd Ave,18,hail,other,NO,286200,300000,NO,91653,5345,96998,YES,YES,NO
384893,3/7/2011,IL,1000,3167.471616,0,46830,53,MALE,adm-clerical,movies,1/27/2015,NY,major damage,Riverwood,9614 Rock St,19,fire,other,NO,320800,1000000,YES,197001,14877,211878,NO,YES,NO
990789,4/16/1999,IL,500,5099.21627,0,61886,59,FEMALE,sales,camping,2/26/2015,NC,total loss,Riverwood,7050 Oak Ridge,13,fire,fire,NO,584800,500000,NO,584800,1488,586288,NO,YES,NO
363006,6/18/2009,IL,500,2504.558269,0,61282,34,FEMALE,transport-moving,reading,1/18/2015,SC,major damage,Northbrook,1602 Best Drive,15,other,none,NO,230600,500000,NO,183882,5121,189003,NO,YES,NO
266109,11/11/2007,OH,500,1842.566902,0,61423,30,FEMALE,craft-repair,polo,1/11/2015,SC,minor damage,Northbrook,9872 Tree St,13,fire,fire,NO,175800,1000000,NO,86133,12823,98956,NO,YES,NO
155904,9/26/2008,IL,500,7814.045725,0,43385,44,FEMALE,machine-op-inspct,camping,2/3/2015,VA,total loss,Hillsdale,6245 Rock Ridge,23,hurricane,other,NO,971200,1000000,NO,971200,4088,975288,NO,YES,NO
913933,1/29/2014,IN,1000,1785.456901,0,45712,47,MALE,adm-clerical,chess,2/3/2015,WV,minor damage,Northbrook,1661 Rock St,16,hail,ambulance,NO,177600,1000000,NO,85361,354,85715,NO,YES,NO
529995,9/26/2009,OH,1000,2730.167565,5000000,44221,57,FEMALE,other-service,chess,1/18/2015,NC,trivial damage,Riverwood,7914 Britain St,4,theft,fire,NO,324200,500000,NO,55986,6706,62692,NO,NO,NO
502193,1/15/2010,IN,500,1155.595536,0,44512,64,MALE,craft-repair,basketball,1/4/2015,NY,total loss,Arlington,6319 4th Lane,0,hurricane,other,NO,139400,500000,YES,139400,7529,146929,NO,YES,NO
365317,1/16/2003,IN,1000,6141.15219,0,61534,58,FEMALE,prof-specialty,bungie-jumping,1/7/2015,WV,major damage,Hillsdale,8816 1st Drive,17,fire,other,NO,673200,1000000,NO,581945,13386,595331,NO,YES,NO
379836,12/21/2001,IL,1000,3514.81009,0,47741,44,MALE,craft-repair,skydiving,1/8/2015,VA,minor damage,Hillsdale,1351 Washington Ave,8,theft,police,YES,306200,500000,YES,172411,10653,183064,NO,NO,NO
883643,4/29/2010,IL,1000,3990.630806,0,44096,49,MALE,protective-serv,yachting,2/11/2015,NY,total loss,Hillsdale,8587 Maple Drive,21,hail,ambulance,NO,339600,500000,YES,339600,11580,351180,YES,YES,NO
