,Unnamed: 0,policy_number,policy_bind_date,policy_state,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_age,insured_sex,insured_occupation,insured_hobbies,incident_date,incident_state,incident_severity,incident_city,incident_location,incident_hour_of_the_day,peril_type,authorities_contacted,police_report_available,cov_A,cov_E,personal_liability_ind,property_claim_amount,injury_claim_amount,total_claim_amount,liberty_prior_claim,other_prior_claim,fraud_reported
2517,2517,595634,4/3/2005,IN,1000,4601.285478,0,45340,28,FEMALE,armed-forces,hiking,2/4/2015,NY,major damage,Riverwood,3329 Apache Lane,20,hurricane,other,NO,397400,500000,NO,262922,21140,284062,NO,NO,NO
2518,2518,637672,10/15/1997,IL,1000,4959.477573,0,45070,26,MALE,exec-managerial,movies,1/26/2015,SC,total loss,Northbend,1977 Weaver Lane,5,hurricane,other,NO,439400,500000,NO,439400,20841,460241,NO,NO,NO
2519,2519,581152,8/2/2008,IL,1000,2462.888883,4000000,61571,37,MALE,other-service,kayaking,1/7/2015,WV,minor damage,Springfield,2676 Texas Hwy,22,hurricane,other,NO,217400,1000000,NO,87024,8633,95657,NO,YES,NO
2520,2520,498269,9/25/2000,OH,1000,3246.581311,4000000,60898,40,FEMALE,armed-forces,board-games,2/10/2015,WV,major damage,Columbus,1383 4th Drive,10,hail,other,NO,313400,300000,NO,281132,18988,300120,NO,NO,NO
2521,2521,238575,11/13/2004,OH,1000,4835.018569,0,45676,32,FEMALE,tech-support,dancing,2/25/2015,NC,total loss,Northbrook,8154 MLK Ave,5,theft,ambulance,NO,459200,1000000,NO,459200,5730,464930,NO,NO,NO
2522,2522,326853,12/9/2011,OH,1000,1914.986604,0,47738,48,FEMALE,sales,reading,1/29/2015,SC,total loss,Riverwood,7214 Best St,18,fire,other,NO,207000,1000000,NO,207000,12988,219988,NO,NO,NO
2523,2523,770836,12/4/2012,IN,1000,5099.036028,0,44689,28,FEMALE,craft-repair,camping,2/27/2015,NY,trivial damage,Riverwood,1264 Apache St,12,fire,none,NO,427200,1000000,NO,117724,19679,137403,YES,YES,NO
2524,2524,146017,3/10/2001,OH,1000,2889.311434,0,61979,38,FEMALE,sales,dancing,1/16/2015,NY,total loss,Northbend,3782 Britain Hwy,3,hail,other,NO,303200,1000000,YES,303200,6658,309858,NO,NO,NO
2525,2525,826367,1/4/2002,IL,1000,2935.697266,0,61210,38,MALE,craft-repair,video-games,2/28/2015,NY,trivial damage,Hillsdale,6799 2nd Hwy,20,fire,ambulance,NO,362600,1000000,NO,77207,7223,84430,NO,NO,NO
2526,2526,817381,9/29/2002,IN,1000,3661.248715,0,43318,38,MALE,transport-moving,dancing,1/8/2015,SC,total loss,Springfield,4101 Maple Drive,3,fire,fire,NO,394400,500000,NO,394400,87,394487,NO,NO,NO
2527,2527,176093,4/2/2003,IN,1000,2386.454776,0,43085,29,FEMALE,farming-fishing,camping,2/12/2015,NY,minor damage,Northbrook,5275 Andromedia Hwy,22,other,police,NO,276000,500000,NO,140537,581,141118,NO,NO,NO
2528,2528,180834,9/14/2009,OH,1000,1443.73413,0,60468,24,FEMALE,farming-fishing,dancing,1/24/2015,WV,minor damage,Columbus,1065 Sky Hwy,3,hurricane,other,NO,151200,500000,NO,63842,12688,76530,NO,NO,NO
2529,2529,979674,9/12/1993,IN,1000,2789.931978,0,46774,40,FEMALE,transport-moving,movies,2/23/2015,VA,total loss,Northbend,3952 1st Hwy,16,other,fire,NO,260000,1000000,NO,260000,11606,271606,NO,NO,NO
2530,2530,901930,9/24/2010,IN,500,3177.488396,0,61332,32,MALE,farming-fishing,movies,2/17/2015,SC,major damage,Riverwood,4624 1st Lane,6,theft,police,YES,296800,1000000,NO,229006,4772,233778,NO,YES,NO
2531,2531,888302,9/6/2005,OH,500,1142.475059,3000000,44632,47,MALE,tech-support,exercise,2/5/2015,NC,minor damage,Northbrook,1391 MLK Ave,17,hail,other,NO,108000,500000,NO,44436,18617,63053,NO,NO,NO
2532,2532,109828,2/17/1996,IN,500,2079.914042000001,0,61266,28,MALE,tech-support,hiking,1/4/2015,NC,total loss,Springfield,4267 Washington Ave,4,hail,other,NO,175600,1000000,NO,175600,16019,191619,YES,NO,NO
2533,2533,188747,2/19/2000,OH,500,4893.980512,0,60945,20,MALE,farming-fishing,exercise,2/9/2015,SC,minor damage,Arlington,5079 Pine Ave,19,hail,ambulance,NO,549200,1000000,YES,249429,3871,253300,YES,NO,NO
2534,2534,405535,2/23/2006,IL,500,3380.409532,0,46987,52,FEMALE,transport-moving,movies,1/10/2015,WV,major damage,Columbus,2700 Lincoln Drive,19,fire,fire,NO,290600,500000,NO,205750,455,206205,NO,YES,NO
2535,2535,350717,5/29/2007,IL,500,1486.755081,0,60090,32,MALE,other-service,dancing,1/20/2015,SC,minor damage,Arlington,6629 Maple Ave,9,hurricane,other,NO,146200,300000,NO,80411,936,81347,NO,NO,NO
2536,2536,711040,5/22/2002,IL,500,1764.660098,0,44171,45,FEMALE,adm-clerical,video-games,1/1/2015,WV,total loss,Riverwood,6764 Flute Ave,6,theft,other,NO,177600,300000,YES,177600,9685,187285,NO,NO,NO
2537,2537,427792,11/11/1996,IL,1000,7960.255609000002,0,45929,29,FEMALE,armed-forces,camping,2/13/2015,VA,total loss,Columbus,7711 Britain St,8,theft,none,NO,976600,300000,YES,976600,6426,983026,YES,YES,NO
2538,2538,720415,12/30/1999,IL,500,2708.972145,0,60312,31,MALE,exec-managerial,reading,2/19/2015,VA,minor damage,Hillsdale,6068 Weaver Hwy,8,hail,other,NO,229600,500000,NO,93810,20233,114043,NO,NO,NO
2539,2539,907077,3/2/1997,IL,1000,6779.522531999999,0,46567,46,FEMALE,craft-repair,video-games,2/2/2015,PA,trivial damage,Springfield,2910 MLK Ridge,15,hail,ambulance,NO,624800,300000,YES,130423,4845,135268,NO,NO,NO
2540,2540,764150,3/25/1993,OH,500,5399.363142,0,61381,41,FEMALE,transport-moving,basketball,2/10/2015,NY,trivial damage,Riverwood,6158 Apache Hwy,21,hurricane,other,NO,450600,500000,NO,18440,575,19015,NO,YES,NO
2541,2541,451620,1/10/2001,OH,1000,2302.882133,0,60217,48,FEMALE,farming-fishing,board-games,2/2/2015,NY,trivial damage,Columbus,4335 Cherokee Drive,21,hurricane,other,NO,209800,500000,NO,22108,660,22768,NO,YES,NO
2542,2542,587009,12/29/2001,OH,1000,1223.364941,0,47224,29,FEMALE,exec-managerial,exercise,1/22/2015,NY,minor damage,Riverwood,4519 Oak Drive,8,theft,other,NO,151400,1000000,NO,78477,301,78778,NO,NO,NO
2543,2543,512370,9/7/2012,IN,1000,3367.287736,0,43168,28,MALE,transport-moving,reading,2/9/2015,WV,total loss,Columbus,4167 MLK Lane,19,theft,none,NO,326200,1000000,NO,326200,6261,332461,NO,NO,NO
2544,2544,212631,6/28/2008,OH,500,3390.564742,10000000,60217,41,MALE,adm-clerical,reading,1/7/2015,SC,major damage,Northbend,2765 Lincoln Hwy,11,fire,none,NO,307600,1000000,YES,261526,445,261971,NO,YES,NO
2545,2545,863930,1/15/1999,IL,1000,2999.368341,0,60173,40,MALE,adm-clerical,chess,2/14/2015,NC,total loss,Arlington,7768 4th Lane,18,fire,ambulance,NO,309000,500000,NO,309000,10779,319779,NO,YES,NO
2546,2546,828443,1/19/1996,IL,1000,2298.690045,0,61047,37,FEMALE,transport-moving,video-games,2/27/2015,WV,total loss,Springfield,6326 Francis Ridge,23,hurricane,other,NO,268400,300000,NO,268400,2918,271318,YES,NO,NO
2547,2547,735303,1/18/2007,IL,1000,4994.285858,0,44891,22,MALE,adm-clerical,exercise,1/4/2015,NY,minor damage,Arlington,8734 Sky Ridge,9,other,police,YES,601200,300000,NO,252165,6521,258686,YES,NO,NO
2548,2548,711681,12/23/1998,OH,1000,724.6842813999998,0,47618,24,FEMALE,sales,board-games,1/16/2015,SC,trivial damage,Hillsdale,4739 MLK Ridge,7,theft,fire,NO,74400,300000,YES,26102,2544,28646,NO,NO,NO
2549,2549,358266,6/30/1997,OH,1000,3210.98731,0,43877,31,FEMALE,adm-clerical,reading,1/26/2015,WV,minor damage,Columbus,6210 Francis Ave,16,fire,none,NO,293200,300000,NO,145812,6089,151901,NO,NO,NO
2550,2550,646830,1/25/1993,OH,1000,6960.260818000002,0,44356,37,MALE,armed-forces,dancing,1/19/2015,WV,total loss,Northbend,7465 Elm Ridge,19,hail,other,NO,674600,300000,YES,674600,10075,684675,NO,YES,NO
2551,2551,939505,12/22/2009,IL,1000,4609.773915,0,44533,42,FEMALE,exec-managerial,video-games,2/14/2015,WV,total loss,Hillsdale,1071 Texas Lane,7,theft,ambulance,NO,421800,300000,NO,421800,131,421931,YES,YES,NO
2552,2552,865263,7/20/2001,IL,500,3910.887312,0,45776,61,FEMALE,exec-managerial,reading,1/22/2015,NY,total loss,Springfield,3751 Cherokee St,3,fire,fire,NO,395000,300000,NO,395000,5479,400479,YES,NO,NO
2553,2553,284127,12/30/2004,IN,1000,1802.948988,0,61416,40,FEMALE,sales,reading,2/24/2015,WV,minor damage,Columbus,4628 Francis Ave,0,hurricane,other,NO,222200,1000000,YES,132923,4744,137667,NO,NO,NO
2554,2554,149620,12/20/2009,IL,500,1368.757866,0,45327,46,MALE,sales,camping,2/20/2015,NY,minor damage,Arlington,8956 Cherokee Lane,15,theft,ambulance,NO,123600,300000,NO,63402,12166,75568,NO,NO,NO
2555,2555,526982,11/24/1995,OH,500,4220.577437,0,43085,21,MALE,sales,movies,1/16/2015,WV,total loss,Northbrook,4284 Maple Drive,2,hail,other,NO,357200,1000000,NO,357200,15559,372759,NO,NO,NO
2556,2556,326261,10/18/2000,OH,1000,3318.734467,7000000,43887,50,FEMALE,exec-managerial,video-games,1/24/2015,NC,minor damage,Springfield,2100 4th Ridge,7,hail,other,NO,406200,500000,NO,178731,16848,195579,YES,YES,NO
2557,2557,303837,8/28/2010,IL,1000,1799.7082649999998,0,44479,30,FEMALE,transport-moving,video-games,2/24/2015,VA,total loss,Springfield,6336 2nd St,16,theft,fire,NO,188600,300000,NO,188600,20784,209384,YES,NO,NO
2558,2558,286186,10/10/2001,IL,1000,2390.814954,0,61571,59,FEMALE,adm-clerical,reading,2/4/2015,NC,total loss,Riverwood,8258 Oak Ridge,17,hurricane,other,NO,298800,500000,NO,298800,5593,304393,NO,NO,NO
2559,2559,751772,10/17/2012,OH,1000,2597.681960000001,0,45581,44,MALE,farming-fishing,camping,1/9/2015,VA,total loss,Columbus,3974 Sky Ave,4,other,other,NO,305800,1000000,NO,305800,833,306633,NO,NO,NO
2560,2560,545579,8/21/2014,OH,500,4600.1128880000015,0,44458,30,MALE,tech-support,kayaking,1/13/2015,WV,total loss,Arlington,6401 Flute Lane,14,hail,other,NO,416200,1000000,NO,416200,606,416806,NO,NO,NO
2561,2561,595588,10/21/2000,IL,500,7810.9761739999985,6000000,47738,33,MALE,tech-support,camping,1/24/2015,NY,total loss,Northbrook,8085 Pine Lane,17,fire,other,NO,657600,300000,NO,657600,2133,659733,NO,YES,NO
2562,2562,168180,1/17/2005,IN,1000,3639.901929,0,43112,33,FEMALE,other-service,board-games,1/12/2015,WV,trivial damage,Arlington,5648 Weaver Ridge,19,fire,other,NO,318800,300000,NO,86866,646,87512,NO,NO,NO
2563,2563,188214,4/2/2007,OH,500,3577.912095,0,43887,33,FEMALE,craft-repair,hiking,1/1/2015,NY,total loss,Riverwood,8544 Apache Hwy,1,hurricane,other,NO,377800,300000,YES,377800,735,378535,NO,YES,NO
2564,2564,155563,4/5/1994,IN,1000,2297.244907,0,45088,31,FEMALE,craft-repair,chess,3/1/2015,WV,minor damage,Columbus,4571 4th Drive,16,hail,other,NO,224000,1000000,NO,134007,11439,145446,NO,YES,NO
2565,2565,880354,9/20/1999,IN,500,7028.983447,0,44564,21,MALE,transport-moving,kayaking,2/23/2015,SC,trivial damage,Riverwood,5067 5th Drive,23,fire,police,YES,734200,500000,YES,146138,16951,163089,YES,YES,NO
2566,2566,131993,2/14/1990,OH,500,3218.194125,6000000,44585,38,FEMALE,tech-support,kayaking,2/21/2015,NC,trivial damage,Riverwood,7913 Flute Ridge,3,other,ambulance,NO,306400,300000,NO,69140,14207,83347,NO,NO,NO
2567,2567,400240,11/27/2004,IL,500,971.5364782,3000000,43278,47,FEMALE,other-service,video-games,1/11/2015,SC,total loss,Northbrook,3480 Tree St,3,hurricane,other,NO,114000,500000,NO,114000,847,114847,NO,YES,NO
2568,2568,172385,1/7/1998,IL,1000,3192.670219,9000000,43253,47,FEMALE,other-service,board-games,1/30/2015,WV,minor damage,Hillsdale,7145 Lincoln Lane,17,fire,fire,NO,323000,1000000,NO,180878,20754,201632,YES,NO,NO
2569,2569,148275,8/3/2001,IN,500,1854.982414,0,43823,63,FEMALE,sales,movies,1/28/2015,NY,minor damage,Hillsdale,1131 3rd Drive,23,theft,police,YES,196000,500000,NO,107243,14049,121292,NO,NO,NO
2570,2570,647195,9/23/1993,IN,1000,3549.7119340000004,0,44935,44,MALE,tech-support,dancing,2/3/2015,NY,major damage,Hillsdale,4566 Britain Ridge,20,other,police,YES,409200,500000,NO,338105,7186,345291,YES,YES,NO
2571,2571,429259,5/16/2004,IN,500,2378.594191,0,43056,33,FEMALE,tech-support,kayaking,2/21/2015,NY,total loss,Arlington,3914 Britain Ridge,11,fire,other,NO,222800,1000000,NO,222800,20717,243517,NO,NO,NO
2572,2572,183674,2/20/1994,IL,1000,2522.8608,0,43193,58,FEMALE,exec-managerial,kayaking,1/28/2015,NY,trivial damage,Riverwood,6020 Lincoln Ave,3,theft,none,NO,243800,300000,NO,18642,13231,31873,NO,NO,NO
2573,2573,664478,11/26/1995,OH,1000,2143.239983,0,44083,35,MALE,other-service,dancing,1/8/2015,SC,total loss,Columbus,7276 4th Hwy,15,hail,other,NO,262800,300000,NO,262800,1629,264429,YES,YES,NO
2574,2574,862473,3/15/2006,OH,500,4514.307215999998,0,47161,32,FEMALE,other-service,chess,2/15/2015,SC,total loss,Riverwood,3833 Sky Hwy,6,other,none,NO,485800,300000,NO,485800,10371,496171,YES,YES,NO
2575,2575,657964,12/8/1991,IL,500,4297.702935,0,46464,43,FEMALE,armed-forces,exercise,1/12/2015,WV,major damage,Hillsdale,4671 Embaracadero Lane,19,hurricane,other,NO,497200,500000,YES,380523,5399,385922,NO,NO,NO
2576,2576,869149,6/25/2007,IL,500,2564.188448,4000000,43698,47,MALE,transport-moving,chess,1/9/2015,NY,total loss,Northbend,4375 Weaver Ridge,22,fire,police,NO,244800,300000,NO,244800,7649,252449,NO,NO,NO
2577,2577,520432,7/20/2012,IL,500,6256.996056,0,47558,32,MALE,transport-moving,board-games,2/12/2015,NC,minor damage,Arlington,5863 Britain Lane,16,other,police,YES,634000,500000,NO,309413,13960,323373,YES,NO,NO
2578,2578,701260,6/18/1995,IN,500,4434.86845,6000000,45636,49,MALE,sales,dancing,1/25/2015,NY,total loss,Riverwood,3150 5th Ave,8,hurricane,other,NO,441600,500000,NO,441599,5179,446778,YES,NO,NO
2579,2579,800104,11/18/1997,OH,500,5495.91281,0,44675,48,MALE,adm-clerical,chess,1/17/2015,SC,total loss,Riverwood,3692 Britain St,18,hail,other,NO,552400,500000,YES,552400,5861,558261,YES,NO,NO
2580,2580,132779,11/23/2000,OH,1000,1372.545011,0,60173,35,FEMALE,transport-moving,board-games,1/22/2015,NY,minor damage,Springfield,3982 Maple Lane,6,other,none,NO,154800,500000,NO,81871,15657,97528,NO,NO,NO
2581,2581,970144,4/21/1993,IN,500,3152.536485,2000000,46380,22,FEMALE,other-service,reading,3/1/2015,VA,minor damage,Northbrook,5759 Britain Hwy,16,hail,other,NO,389800,1000000,NO,196472,17837,214309,NO,NO,NO
2582,2582,955208,1/17/2003,IL,500,2695.815766,0,61494,21,FEMALE,other-service,chess,1/3/2015,WV,minor damage,Northbend,2454 Apache Drive,22,theft,police,YES,262000,300000,YES,149453,5847,155300,YES,NO,NO
2583,2583,697957,3/3/1991,OH,500,1951.718277,0,44259,35,MALE,adm-clerical,video-games,1/20/2015,WV,total loss,Columbus,3693 Francis Ave,9,hail,other,NO,218000,500000,NO,218000,10302,228302,NO,YES,NO
2584,2584,568404,11/22/2014,IN,1000,3299.218022,0,44114,35,MALE,sales,kayaking,2/24/2015,NC,trivial damage,Arlington,7749 Texas Ridge,0,hail,other,NO,358200,500000,NO,114126,6905,121031,YES,NO,NO
2585,2585,656885,4/3/1994,IL,1000,2636.074904,7000000,46820,39,MALE,adm-clerical,reading,2/23/2015,SC,total loss,Springfield,4634 Elm Lane,17,hail,other,NO,249000,300000,NO,249000,851,249851,YES,NO,NO
2586,2586,446088,1/31/2002,IL,500,3559.508727000001,0,45327,48,MALE,craft-repair,hiking,2/3/2015,OH,trivial damage,Columbus,9619 Tree Lane,7,hurricane,other,NO,356400,300000,NO,9817,18092,27909,NO,NO,NO
2587,2587,898777,12/7/2000,IN,1000,5177.226064,0,45249,40,MALE,adm-clerical,movies,1/14/2015,OH,total loss,Hillsdale,8922 Washington Hwy,9,theft,fire,NO,509000,500000,NO,509000,1154,510154,NO,NO,NO
2588,2588,299909,10/2/2009,OH,500,2078.3185670000007,0,46487,35,MALE,craft-repair,exercise,1/15/2015,NY,total loss,Springfield,8782 Rock Ave,18,hail,other,NO,235800,300000,NO,235799,892,236691,NO,NO,NO
2589,2589,228534,2/2/2002,OH,500,4577.023178,3000000,44221,45,MALE,tech-support,basketball,1/7/2015,NY,total loss,Northbend,9452 Best Ave,1,hurricane,other,NO,466800,500000,NO,466800,109,466909,NO,YES,NO
2590,2590,845098,1/31/2013,IL,500,5433.238974,0,45167,24,FEMALE,craft-repair,camping,1/28/2015,VA,trivial damage,Northbrook,3456 Oak Hwy,23,fire,none,NO,517400,300000,NO,135830,7168,142998,NO,NO,NO
2591,2591,945599,7/29/2008,IL,500,3243.723082,0,61282,58,FEMALE,transport-moving,board-games,2/3/2015,NY,minor damage,Columbus,1379 5th Lane,16,hail,other,NO,305000,1000000,NO,162691,12628,175319,NO,NO,NO
2592,2592,893494,10/19/2000,OH,500,4559.83295,0,47223,60,MALE,exec-managerial,video-games,2/6/2015,WV,total loss,Springfield,5261 Embaracadero Drive,13,hail,other,NO,435400,1000000,NO,435400,13177,448577,YES,NO,NO
2593,2593,948333,12/8/2006,IL,500,2630.07204,0,43196,52,MALE,armed-forces,hiking,2/3/2015,WV,minor damage,Riverwood,8480 Sky Hwy,3,theft,other,NO,247400,1000000,YES,113492,20986,134478,YES,NO,NO
2594,2594,729309,8/24/1990,IN,1000,3257.404211,0,46058,46,FEMALE,sales,kayaking,2/3/2015,OH,major damage,Springfield,3054 Flute St,2,fire,police,YES,328800,300000,NO,220954,11765,232719,YES,YES,NO
2595,2595,599867,5/1/2000,IN,500,4232.072251,0,43172,64,FEMALE,craft-repair,basketball,2/2/2015,NC,trivial damage,Springfield,3219 Texas Ridge,1,hurricane,other,NO,399400,1000000,YES,76181,4397,80578,YES,NO,NO
2596,2596,621333,7/14/2001,OH,500,3807.267714,0,44955,32,FEMALE,tech-support,exercise,1/16/2015,NY,minor damage,Springfield,5467 Oak Ridge,2,other,other,NO,393400,1000000,NO,188715,14192,202907,YES,NO,NO
2597,2597,442473,9/6/2011,OH,500,1810.466804,0,45326,46,MALE,tech-support,kayaking,1/22/2015,SC,total loss,Springfield,6814 Elm Lane,13,other,ambulance,NO,185000,500000,NO,185000,17862,202862,YES,NO,NO
2598,2598,706522,8/16/2006,IN,500,3385.481647,0,61254,32,FEMALE,transport-moving,board-games,2/17/2015,OH,major damage,Hillsdale,2959 MLK Lane,17,fire,fire,NO,368400,1000000,NO,299264,140,299404,NO,NO,NO
2599,2599,393413,4/27/2011,OH,500,3126.964201,0,43172,22,MALE,adm-clerical,basketball,1/20/2015,NY,trivial damage,Northbend,7557 Lincoln Hwy,21,other,police,NO,269200,1000000,NO,70668,5944,76612,NO,NO,NO
2600,2600,600219,7/22/1995,OH,500,3831.115628,0,60373,28,FEMALE,tech-support,dancing,2/25/2015,VA,minor damage,Columbus,3806 Lincoln Hwy,6,hurricane,ambulance,NO,366400,500000,YES,149282,13026,162308,YES,YES,NO
2601,2601,393457,3/14/1990,OH,1000,2289.254472,0,61658,27,MALE,farming-fishing,reading,1/28/2015,SC,total loss,Northbrook,7640 Francis Drive,12,hurricane,ambulance,NO,246600,1000000,NO,246600,10099,256699,YES,NO,NO
2602,2602,341984,3/14/2005,IL,1000,2640.178886,7000000,62086,34,MALE,other-service,movies,2/28/2015,PA,total loss,Springfield,3143 MLK Ridge,16,theft,ambulance,NO,307400,300000,NO,307400,7211,314611,NO,NO,NO
2603,2603,457143,2/12/1997,IN,500,3149.929895,0,61752,45,FEMALE,craft-repair,dancing,1/24/2015,NC,trivial damage,Riverwood,6017 Texas Lane,23,fire,other,NO,282200,500000,NO,54924,14853,69777,NO,NO,NO
2604,2604,580931,12/30/2006,IL,1000,4471.369313,4000000,60837,33,MALE,other-service,board-games,2/28/2015,NC,trivial damage,Northbend,7654 Best Ridge,14,theft,none,NO,444600,500000,YES,30008,10091,40099,NO,NO,NO
2605,2605,334564,11/16/2005,IL,1000,4702.5666740000015,0,43652,32,MALE,other-service,camping,2/12/2015,NC,minor damage,Riverwood,3885 Flute Hwy,19,fire,none,NO,505200,300000,YES,258797,3100,261897,YES,NO,NO
2606,2606,341856,12/13/1994,IN,1000,1049.283671,0,43742,32,FEMALE,tech-support,exercise,1/29/2015,WV,total loss,Hillsdale,3769 Embaracadero Lane,22,other,other,NO,88600,1000000,NO,88600,10089,98689,NO,YES,NO
2607,2607,854045,1/2/2000,IN,500,2831.546576,0,61981,36,MALE,other-service,video-games,1/14/2015,VA,trivial damage,Riverwood,7508 Apache Hwy,23,other,other,NO,273200,300000,NO,505,750,1255,YES,YES,NO
2608,2608,662109,11/3/2002,OH,1000,6467.92494,0,60628,36,FEMALE,tech-support,dancing,1/16/2015,WV,total loss,Springfield,7920 Andromedia St,3,hurricane,other,NO,585000,500000,YES,585000,7495,592495,NO,YES,NO
2609,2609,494696,11/6/2004,IL,500,2394.57259,6000000,43697,36,FEMALE,farming-fishing,basketball,2/14/2015,NC,trivial damage,Arlington,4792 5th St,12,other,police,YES,205600,1000000,YES,2246,19866,22112,NO,YES,NO
2610,2610,261745,5/6/2000,OH,500,7890.694481,0,60837,44,FEMALE,tech-support,video-games,1/7/2015,NY,total loss,Arlington,7499 2nd Hwy,4,other,none,NO,812800,1000000,NO,812800,7739,820539,YES,YES,NO
2611,2611,301011,4/30/1991,IN,500,2349.151258,0,45221,45,FEMALE,other-service,hiking,1/1/2015,WV,total loss,Columbus,6591 Flute Drive,9,other,ambulance,NO,273000,1000000,NO,273000,7373,280373,NO,NO,NO
2612,2612,320254,9/22/1993,OH,1000,3648.414281,0,43253,50,FEMALE,transport-moving,camping,2/10/2015,WV,total loss,Columbus,5599 Andromedia St,4,theft,police,YES,305600,500000,NO,305600,16828,322428,NO,NO,NO
2613,2613,659212,5/2/2003,IN,500,3224.062383,0,46380,33,MALE,sales,hiking,1/14/2015,WV,total loss,Northbend,6578 Best Lane,21,hail,other,NO,366000,300000,NO,366000,12502,378502,NO,NO,NO
2614,2614,491358,6/28/1991,OH,500,3421.920037,0,61452,31,MALE,farming-fishing,reading,1/6/2015,WV,major damage,Springfield,1200 Flute Drive,22,hail,ambulance,NO,352200,1000000,YES,297774,4473,302247,NO,NO,NO
2615,2615,232509,3/6/2012,IN,1000,2621.175883,0,60250,29,MALE,other-service,kayaking,1/24/2015,SC,total loss,Northbrook,2459 4th Hwy,9,other,none,NO,232800,1000000,NO,232800,9751,242551,YES,NO,NO
2616,2616,566575,7/13/2006,OH,500,6176.556284,0,43135,39,MALE,transport-moving,reading,2/22/2015,NY,trivial damage,Northbrook,5028 4th Ave,23,fire,police,YES,587600,500000,NO,196510,130,196640,NO,NO,NO
2617,2617,406620,7/13/1998,IL,500,11987.53679,5000000,44491,41,MALE,adm-clerical,camping,2/28/2015,NY,minor damage,Columbus,4241 Best Ridge,12,hurricane,other,NO,1118000,1000000,NO,547793,12796,560589,NO,NO,NO
2618,2618,691510,10/19/2004,IL,500,3033.437494,0,46774,53,FEMALE,farming-fishing,hiking,2/11/2015,NY,major damage,Springfield,3404 Weaver St,3,other,none,NO,304200,300000,NO,184106,497,184603,NO,NO,NO
2619,2619,847011,7/9/2013,OH,1000,4394.8468090000015,0,43168,34,FEMALE,farming-fishing,exercise,2/2/2015,WV,major damage,Arlington,9084 4th Lane,5,hurricane,other,NO,498600,1000000,NO,382313,5568,387881,NO,NO,NO
2620,2620,113116,5/20/1990,IL,500,2812.944795,0,45220,29,MALE,farming-fishing,exercise,1/21/2015,WV,minor damage,Springfield,9471 Cherokee Ave,23,hail,other,NO,303400,300000,NO,168447,1738,170185,NO,NO,NO
2621,2621,485431,2/11/2013,OH,1000,2845.820915,0,44293,30,MALE,tech-support,dancing,2/27/2015,SC,minor damage,Riverwood,1315 2nd St,9,hurricane,other,NO,237800,300000,YES,97510,17904,115414,NO,YES,NO
2622,2622,703462,12/11/1999,IN,500,6412.557428,0,43098,31,MALE,other-service,basketball,2/27/2015,WV,total loss,Columbus,6827 Francis Ave,23,hail,ambulance,NO,656600,500000,NO,656600,225,656825,YES,NO,NO
2623,2623,755544,7/3/1995,IN,500,1855.668614,6000000,60623,34,MALE,craft-repair,board-games,1/30/2015,WV,major damage,Springfield,3651 Cherokee Ridge,17,hail,other,NO,181600,1000000,NO,115478,11622,127100,NO,NO,NO
2624,2624,363537,4/10/2012,OH,500,3747.39781,0,43112,34,MALE,armed-forces,exercise,1/20/2015,WV,minor damage,Northbend,1644 Britain Hwy,19,theft,ambulance,NO,404000,500000,NO,230997,7376,238373,YES,YES,NO
2625,2625,631253,7/26/1996,IL,1000,978.9846067,0,61332,22,MALE,armed-forces,reading,1/28/2015,VA,minor damage,Northbend,2880 Solo Drive,9,theft,fire,NO,104800,500000,NO,44580,7059,51639,NO,YES,NO
2626,2626,154027,9/30/1992,OH,1000,3892.446693,0,45712,43,FEMALE,exec-managerial,basketball,1/30/2015,NC,trivial damage,Arlington,8073 1st Drive,2,hurricane,ambulance,NO,362000,1000000,NO,72495,13889,86384,YES,YES,NO
2627,2627,235033,10/5/1991,OH,1000,2373.250784,0,43249,41,FEMALE,sales,chess,2/13/2015,WV,trivial damage,Northbend,5622 Best St,12,theft,ambulance,NO,198400,500000,NO,30953,10791,41744,NO,NO,NO
2628,2628,657000,11/29/2006,IN,500,4381.510340999998,0,44458,40,MALE,other-service,reading,2/27/2015,VA,trivial damage,Hillsdale,9599 Apache St,9,fire,ambulance,NO,389600,1000000,NO,86031,247,86278,NO,YES,NO
2629,2629,805847,1/28/2007,IN,1000,2132.472294,6000000,47263,23,FEMALE,armed-forces,video-games,2/6/2015,NY,minor damage,Arlington,4113 Cherokee Lane,0,other,none,NO,241400,300000,NO,114490,3678,118168,NO,YES,NO
2630,2630,866488,2/3/1999,OH,1000,3220.683457,0,44171,44,MALE,tech-support,chess,2/2/2015,NC,minor damage,Arlington,6247 Rock St,17,theft,police,YES,301400,1000000,NO,146599,11383,157982,NO,NO,NO
2631,2631,751564,11/15/1993,OH,500,1424.704298,0,47341,29,MALE,sales,camping,1/25/2015,SC,minor damage,Springfield,3385 Andromedia Drive,16,fire,none,NO,131200,500000,NO,75870,188,76058,NO,NO,NO
2632,2632,596658,9/18/1995,IN,1000,3927.841267,0,44355,43,MALE,tech-support,dancing,1/27/2015,WV,total loss,Columbus,5629 Texas Ridge,7,fire,ambulance,NO,340200,500000,YES,340200,7877,348077,NO,NO,NO
